region,liters,tx,price,n,liters_30,tx_30,month,liters_index
2,19645.51,545,65.27,180,109.14172222222221,3.0277777777777777,4,100.0
16,111970.05,3127,65.99,1031,108.6033462657614,3.0329776915615905,4,100.00000000000001
23,42522.98,1088,70.07,360,118.11938888888889,3.0222222222222217,4,100.0
24,40691.02,1081,66.01,455,89.43081318681318,2.375824175824176,4,99.99999999999999
42,40402.47,1123,65.51,402,100.50365671641791,2.7935323383084576,4,99.99999999999999
47,57346.12,1494,69.09,519,110.49348747591524,2.878612716763006,4,100.0
50,235461.68,6035,68.89,2060,114.30178640776698,2.929611650485437,4,100.0
52,79974.15,2127,68.2,743,107.63681022880215,2.8627187079407808,4,100.0
54,69539.43,1832,66.22,662,105.04445619335347,2.7673716012084593,4,100.0
55,27632.239999999998,749,65.14,284,97.29661971830986,2.6373239436619724,4,99.99999999999999
63,31532.82,861,66.37,266,118.54443609022556,3.236842105263158,4,100.0
66,139371.13,3959,67.14,1479,94.23335361730899,2.6768086544962815,4,99.99999999999999
72,26510.48,696,67.4,261,101.5727203065134,2.6666666666666665,4,100.0
74,77264.41,2278,65.01,775,99.6960129032258,2.9393548387096775,4,100.0
77,363031.02,8877,70.26,3161,114.84689022461247,2.8082885162923126,4,100.0
78,196349.83,5032,69.28,1799,109.14387437465258,2.7971095052807113,4,100.0
2,15634.13,459,65.5,180,108.57034722222222,3.1875,5,99.47648343056507
16,96382.75,2675,66.2,1031,116.8559044616877,3.243210475266731,5,107.59880655586026
23,33162.62,818,70.42,360,115.14798611111114,2.8402777777777772,5,97.48440725461857
24,35301.27,978,66.5,455,96.98151098901099,2.6868131868131866,5,108.44306065564344
42,34445.159999999996,945,65.9,402,107.10559701492537,2.9384328358208958,5,106.56885581500339
47,42955.22,1143,69.32,519,103.45669556840078,2.7528901734104045,5,93.63148718692736
50,196786.32,5080,69.29,2060,119.40917475728156,3.08252427184466,5,104.46833641890265
52,65513.07,1754,68.9,743,110.21714333781965,2.9508748317631226,5,102.39725898931093
