region,n_post,n_pre,liters_post,liters_pre,positive_liters_post,positive_liters_pre,transactions_post,transactions_pre,spend_post,spend_pre,positive_total_post,positive_total_pre,price_post,price_pre,liters_change,positive_liters_change,transactions_change,price_change,S,region_name,population_2025,grp_pc_2024_rub,grp_pc_2023_rub,refinery,refinery_examples,macroarea,lon,lat,population_m,grp_m,sample_per100k,logpop,loggrp,refinery_z,old_share,new_share,median_car_price,drop,liters_ci_low,liters_ci_high,aug_apr_index,june_apr_index,log_tx_change,log_size_change,away_fine_share,matched_price_change
2,180,180,37.50007246376811,108.88777777777777,37.622137681159415,109.25444444444445,1.1521739130434783,3.098765432098766,1437286.9468,2331616.2489,20767.42,35398.44,69.20873882263662,65.86776843555818,-65.56080652109581,-65.56466158199161,-62.81829204919453,5.072238617506963,2.0425336655511304,Башкортостан,4042377,739698.6,613157.1,1,Уфимская группа; Салават,Поволжье,55.97,54.74,4.042377,0.7396986,4.452825651838015,0.18498454235385273,-1.1829079756780407,0.674199862463242,51.11111111111111,17.22222222222222,1596095.0,65.56080652109581,-71.90547078104262,-57.948797768487765,23.146830513566744,56.11521411253768,-98.93532673963183,-7.6733601909748845,26.027397260273975,1.800460148024352
16,1031,1031,64.67135537468899,112.27114990839529,64.90454708387804,112.82053022955058,1.8878884999789145,3.1264144843194313,14374703.852699999,13938475.4047,205210.87,209372.34,70.04845236853194,66.5726685993957,-42.397173781994844,-42.470978507351596,-39.614900409154274,5.221037164743891,0.8996837036249806,Татарстан,4019606,1361838.5,1173278.0,1,ТАНЕКО; ТАИФ-НК,Поволжье,49.12,55.79,4.019606,1.3618385,25.649280053816224,0.1745635806214006,0.4071277988233859,0.674199862463242,43.93792434529583,24.248302618816684,1722466.5,42.397173781994844,-46.270339477967966,-38.823176811506336,45.7085824116763,87.10982088513849,-50.44278069974656,-4.845283690515488,9.83277591973244,2.7970252518021765
23,360,360,63.482373188405795,116.79876543209876,63.60597826086957,117.62529320987655,1.740036231884058,2.941358024691358,5164322.4819,5379574.3321,70221.0,76221.19,73.54384702439441,70.57846160759233,-45.64807859607778,-45.92491417013631,-40.84241981842237,4.201544421992742,1.012250297476475,Краснодарский край,5842238,922283.2,828223.4,1,Туапсинский; Ильский; Афипский; Краснодарский,Юг,38.98,45.04,5.842238,0.9222832,6.1620221565776685,0.8643693118495531,-0.6081916063047716,0.674199862463242,54.72222222222223,21.944444444444443,1629590.5,45.64807859607778,-51.95305438974182,-37.79003373717091,41.40935165545934,76.11832472700642,-52.49654519303567,-8.983117498244813,48.95947426067908,1.5708841177968225
24,455,455,90.80202341137124,92.78667887667888,91.2566817964644,92.9493894993895,2.659579550883899,2.514041514041514,9063163.1614,5191944.8028,127333.48999999999,76125.55,71.17658646912136,68.20239463360198,-2.1389443930258656,-1.8211068540005981,5.789006904998217,4.360831978843827,-1.206246872112796,Красноярский край,2837988,1522495.3,1316317.9,1,Ачинский,Сибирь,92.87,56.01,2.837988,1.5224953,16.032484985842082,-0.46757113171140097,0.6976388259718365,0.674199862463242,60.21978021978022,14.505494505494507,1666452.0,2.1389443930258656,-11.865966409404358,8.172221783366432,106.92880783191268,108.31991923525142,5.627642354804233,-7.465535469151787,21.573948439620082,3.1404246450249307
42,402,402,103.32929915639194,103.43785240464346,103.8954493835172,103.75783582089552,3.079169370538611,2.857932559425097,8789734.3081,4981293.133,128082.31,75079.17,68.62566975954759,66.34720566303544,-0.1049453809490064,0.1326295614523243,7.741148767975781,3.4341523109262972,-1.304588709843672,Кемеровская область,2527219,716693.7,746072.8,1,Яйский,Сибирь,86.09,55.35,2.527219,0.7166937,15.906812982966652,-0.6815170638079141,-1.265215093710073,0.674199862463242,50.24875621890548,26.865671641791046,1609524.5,0.1049453809490064,-8.749535840119586,9.205695799758344,99.19895747031819,112.37748583193058,7.456139361673282,-7.323597675533276,24.900133155792282,2.4162163964425387
47,519,519,84.2401545614476,107.3660244059088,84.48918698165369,107.66293084992508,2.476124654435788,2.8227360308285165,9654381.2113,7064483.2539,134472.99,100578.70999999999,71.79420351477275,70.23835614813513,-21.539281138911658,-21.524347967615743,-12.279269921353308,2.215096497071034,-0.2812551888391136,Ленинградская область,2059479,1174111.0,952085.1,1,Киришинефтеоргсинтез,Северо-Запад,32.03,59.45,2.059479,1.174111,25.200548294010282,-1.059074547486635,0.02072364897096053,0.674199862463242,47.591522157996145,23.892100192678228,1780000.0,21.539281138911658,-28.515257773964546,-14.121773856264491,72.93756105961933,87.57202754083447,-13.101193964304883,-11.136983486040878,61.35817307692308,1.3492694401298633
50,2060,2060,76.72934360489658,116.57173678532902,77.01443224989447,117.00716019417476,2.2405023216547066,2.9975728155339807,35534276.6519,30476120.0532,486525.83999999997,433862.55,73.03677159655076,70.2437213195746,-34.1784331941486,-34.17972701663034,-25.256116880830838,3.9762276606462033,0.3497855304237504,Московская область,8775735,1249020.0,1082220.1,0,Нет крупного НПЗ в принятом перечне; Московский НПЗ относится к Москве,Центр,38.5,55.3,8.775735,1.24902,23.473817292796557,1.6149529997320329,0.181845635652186,-1.4832396974191326,48.495145631067956,23.78640776699029,1973984.5,34.1784331941486,-37.054355970981284,-31.082955504248932,60.482416036115026,78.03811218878589,-29.11028082473328,-12.713948681135042,40.848891016435296,2.196574289222153
52,743,743,73.40212124758617,108.78362494392104,73.77921908830243,109.03948706445341,2.1557727192931124,2.9018992074173773,11977821.2729,10074758.3108,168108.41,145829.41,71.25057736790205,69.08591559686073,-32.52465958417397,-32.33715503018515,-25.711661046570256,3.1332895458357157,0.31797936287009637,Нижегородская область,3039421,1009913.6,901932.8,1,ЛУКОЙЛ-Нижегороднефтеоргсинтез,Поволжье,44.0,56.33,3.039421,1.0099136,24.445445366074658,-0.3410738318884265,-0.3717299324681863,0.674199862463242,49.66352624495289,26.11036339165545,1755416.75,32.52465958417397,-37.60094622993043,-26.90298230090923,67.58048210457035,84.06550116506396,-29.721619202669398,-9.341678346127622,21.947674418604645,2.0087314533196787
54,662,662,99.32851536844869,106.47149211144679,99.77117594903454,107.00271064115475,2.940693550505714,2.813024504867405,14251930.2323,8661119.2264,202548.79,127504.43,70.36294925435003,67.92798670916767,-6.708816229908132,-6.758272429538669,4.538497457715063,3.5846234566138335,-1.0592071617262648,Новосибирская область,2786540,966864.7,828210.5,0,Нет крупного НПЗ в принятом перечне,Сибирь,82.92,55.03,2.78654,0.9668646999999999,23.75706072764073,-0.5013201346777157,-0.4852132591727416,-1.4832396974191326,60.87613293051359,17.82477341389728,1816482.0,6.708816229908132,-13.50252740340348,0.20361222644721289,101.1601712174128,110.21365863942228,4.438521429990824,-11.436005808036258,13.097514340344162,2.2877932436261017
55,284,284,90.36652633190447,99.01050469483569,90.77873928352724,99.53816510172143,2.670698101653399,2.693661971830986,5360656.9244,3410255.728,79062.23,50883.909999999996,67.80300687698791,67.0203160095205,-8.730364913877754,-8.80006760144979,-0.8525149190110826,1.167841207069542,-0.8801243094743111,Омская область,1805806,779598.9,674884.9,1,Омский,Сибирь,73.37,54.99,1.805806,0.7795989,15.727049306514653,-1.3015589613147898,-1.0460429418109136,0.674199862463242,69.01408450704226,11.619718309859154,1459643.0,8.730364913877754,-17.57032322163525,1.3535941445442883,94.66435093630227,103.57571445528846,-0.8561696134811037,-8.355433401723618,18.306010928961747,1.3692874153684476
63,266,266,46.642656914024194,119.74872598162071,46.776156423667864,120.34920634920634,1.3754494932984636,3.318713450292398,2908906.026,3841671.2119,38156.87,57623.2,76.23544661813193,66.66882803974788,-61.04955895632409,-61.13297474688637,-58.554737734971404,14.34946264944157,1.8259783853949003,Самарская область,3112566,1062849.0,872565.8,1,Куйбышевский; Новокуйбышевский; Сызранский,Поволжье,50.1,53.2,3.112566,1.062849,8.546003522495587,-0.2972049948034558,-0.23863841522211746,0.674199862463242,45.48872180451128,26.691729323308273,1550833.0,61.04955895632409,-66.13997998761019,-55.4635313899099,28.704992285457166,64.63709874346792,-88.07966109388403,-6.422736377714012,17.489986648865152,5.358985960316587
66,1479,1479,89.74637093218097,95.18024566148299,90.23914366346239,95.4140184809556,2.696666372696005,2.7214334009465855,28595241.3576,17321668.7197,409288.66,254011.2,69.86570641268194,68.19253922543572,-5.709036251732402,-5.4236001165029135,-0.9100729138536212,2.453592733531962,-0.9564929850564675,Свердловская область,4221452,1124324.2,1005029.9,0,Нет крупного НПЗ в принятом перечне,Урал,60.6,56.84,4.221452,1.1243242,35.03533855175897,0.26494735301252353,-0.09215431916407364,-1.4832396974191326,56.5922920892495,18.728870858688303,1525181.0,5.709036251732402,-10.59499943529023,-0.6522160740935604,97.78536700372732,100.3179281103626,-0.9142393752185474,-4.66198199918669,12.39248168206435,1.8103758413193116
