,Штрафы 2025,Штрафы 2026,Заправки,Литры,Расходы на топливо,Медианная цена топлива,Число автомобилей,Стоимость автомобиля,Мощность двигателя
Штрафы 2025,1.0,0.26225494378003256,0.030930845052546903,0.07761537259225386,0.08910527362969434,0.11622577056827367,0.17780115427473228,0.08705537984989312,0.11725210392912452
Штрафы 2026,0.26225494378003256,1.0,0.08574036150953594,0.12201230698825592,0.13480697007269088,0.10391810510992627,0.15381679095116882,0.10811038341179366,0.13533587601394265
Заправки,0.030930845052546903,0.08574036150953594,1.0,0.8993281135142797,0.8778308033912298,-0.03411577772305643,0.02930957161357705,-0.042022861600111365,-0.02235441614004166
Литры,0.07761537259225386,0.12201230698825592,0.8993281135142797,1.0,0.979574306520645,0.035284270922013944,0.06414558573963368,0.07956199161290217,0.1125449055645071
Расходы на топливо,0.08910527362969434,0.13480697007269088,0.8778308033912298,0.979574306520645,1.0,0.17201290034780548,0.07022823802501753,0.12896797198305404,0.16413020263527633
Медианная цена топлива,0.11622577056827367,0.10391810510992627,-0.03411577772305643,0.035284270922013944,0.17201290034780548,1.0,0.06414709522990816,0.3338401002475011,0.352010390514461
Число автомобилей,0.17780115427473228,0.15381679095116882,0.02930957161357705,0.06414558573963368,0.07022823802501753,0.06414709522990816,1.0,0.041696837274469864,0.0441387188912961
Стоимость автомобиля,0.08705537984989312,0.10811038341179366,-0.042022861600111365,0.07956199161290217,0.12896797198305404,0.3338401002475011,0.041696837274469864,1.0,0.7157922572591808
Мощность двигателя,0.11725210392912452,0.13533587601394265,-0.02235441614004166,0.1125449055645071,0.16413020263527633,0.352010390514461,0.0441387188912961,0.7157922572591808,1.0
